Date,Country,Event,Description,SharedOrPersonal
1-Feb-1944,United States,Selective Service act trial,June 12th - June 18th 1944 Mass trial held for 63 Japanese Americans charged with violation of the Selective Service Act. All 63 defendants are sentenced to three years in a federal penitentiary.,Japanese
10-Mar-1944,United States,"Jerome War Relocation Center in Arkansas closes, the first to close,  and internees are transferred to other centers.",30-Jun-44,Japanese
1-Apr-1944,United States,Public Law 405 signed: U.S. citizens are allowed to renounce their citizenship in time of war,1-Jul-44,Japanese
1-May-1944,Poland,Russian troops liberate Majdanek,24-Jul-44,Holocaust
1-Jun-1944,Poland,The last ghetto in Poland is liquidated (Lodz),6-Aug-44,Holocaust
1-Jul-1944,Poland,Last use of the gas chambers of Auschwitz,30-Oct-44,Holocaust
1-Sep-1944,United States,Public Proclamation No. 21,"December 17 1944, : lifts the West Coast exclusion orders and restores the right of Japanese Americans to return to their former communities starting January 2, 1945.",Japanese
11-Nov-1944,United States,Supreme Court rules on the Korematsu and Endo cases. ,18-Dec-44,Japanese
10-Jan-1945,Poland,Auschwitz liberated,January 27th 1945 Russion troops liberated Auschwitz. There were an estimated 2 million people murderd at Auschwitz alone by this time.,Holocaust
1-Mar-1945,Germany,Concentration camps coming to an end,"April 1st - May 5th 1945 6 concentration camps are closed or liberated: Ravensbruck, Ohrdruf, Buchenwald, Bergen-Belsen, Sachsenhausen, and Mauthausen.",Holocaust
1-May-1945,Germany,Adolf Hitler commits suicide,30-Apr-45,Holocaust
25-Jun-1945,Germany,German's surrender,7-May-45,Holocaust
20-Jul-1945,United States,Peace Inquiries,July 12th 1945 At this point the Nazi's had surrendered and so the Japanese lost a huge ally in the war. The United States received a telegram from the Japanese emperor asking for peace. ,Japanese
1-Sep-1945,United States,Administrative Notice No. 289:  scheduled relocation of all remaining internees.,1-Aug-45,Japanese
1-Nov-1945,United States,Atomic Bombs,"On August 6th 1945 the atomic bomb was dropped on  Hiroshima followed by the atomic bomb at Nagasaki on August 9th 1945, ",Japanese
21-Dec-1945,United States,Japan surrenders,August 14th Japan Surrenders and by September 4th all restrictions against Japanese Americans are revoked.,Japanese
